"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57562347";"12";"5757177";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-12";"2015-12-05";"";"";"";"REGULAR";"t";"2016-05-25 09:59:01.22";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562347";"12";"5752206";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-12";"2015-12-05";"";"";"";"REGULAR";"t";"2016-05-25 09:59:01.22";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562492";"01";"5752257";"";"";"48832";"STRICTO SENSU";"";"Sala de Aula 1 - NESC";"2015";"2";"2015-10-29";"2015-11-06";"56M123456  56T123456";"";"24";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562492";"01";"5753021";"";"";"48832";"STRICTO SENSU";"";"Sala de Aula 1 - NESC";"2015";"2";"2015-10-29";"2015-11-06";"56M123456  56T123456";"";"24";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562492";"01";"22923";"";"";"48832";"STRICTO SENSU";"";"Sala de Aula 1 - NESC";"2015";"2";"2015-10-29";"2015-11-06";"56M123456  56T123456";"";"24";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562493";"01";"18284";"";"";"48165";"STRICTO SENSU";"";"Sala de Aula 1 - NESC";"2015";"2";"2015-08-13";"2015-08-28";"56M123456  56T123456";"24";"24";"REGULAR";"f";"2015-12-17 17:54:30.1";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562493";"01";"22923";"";"";"48165";"STRICTO SENSU";"";"Sala de Aula 1 - NESC";"2015";"2";"2015-08-13";"2015-08-28";"56M123456  56T123456";"24";"24";"REGULAR";"f";"2015-12-17 17:54:30.1";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562493";"01";"5752257";"";"";"48165";"STRICTO SENSU";"";"Sala de Aula 1 - NESC";"2015";"2";"2015-08-13";"2015-08-28";"56M123456  56T123456";"24";"24";"REGULAR";"f";"2015-12-17 17:54:30.1";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562493";"01";"5752281";"";"";"48165";"STRICTO SENSU";"";"Sala de Aula 1 - NESC";"2015";"2";"2015-08-13";"2015-08-28";"56M123456  56T123456";"24";"24";"REGULAR";"f";"2015-12-17 17:54:30.1";"f";"";"72";"CONSOLIDADA";"";"Presencial";
"57562604";"01";"";"110036790";"";"58013";"TÉCNICO";"";"ESCOLA ESTADUAL TABELIAO JULIO MARIA";"2015";"2";"2015-07-08";"2015-10-14";"4N234";"";"40";"REGULAR";"f";"2015-11-30 14:11:15.525";"f";"";"45";"CONSOLIDADA";"";"Presencial";
"57562605";"01";"";"110036790";"";"58014";"TÉCNICO";"";"ESCOLA ESTADUAL TABELIAO JULIO MARIA";"2015";"2";"2015-07-09";"2015-10-22";"5N234";"";"40";"REGULAR";"f";"2015-12-16 19:07:09.916";"f";"";"48";"CONSOLIDADA";"";"Presencial";
"57562606";"01";"";"110191978";"";"58019";"TÉCNICO";"";"ESCOLA ESTADUAL TABELIAO JULIO MARIA";"2015";"2";"2015-09-10";"2015-11-04";"5N234";"";"40";"REGULAR";"f";"2016-08-18 07:59:05.362";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57562607";"01";"";"116336055";"";"58010";"TÉCNICO";"";"ESCOLA ESTADUAL TABELIAO JULIO MARIA";"2015";"2";"2016-05-17";"2016-06-21";"23N234";"";"40";"REGULAR";"f";"2016-12-15 13:21:34.291";"f";"";"33";"CONSOLIDADA";"";"Presencial";
"57562608";"01";"";"106553543";"";"58015";"TÉCNICO";"";"ESCOLA ESTADUAL TABELIAO JULIO MARIA";"2015";"2";"2015-07-06";"2015-10-19";"2N234";"";"40";"REGULAR";"f";"2016-08-18 08:04:17.938";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57562620";"01";"5755812";"";"";"59209";"LATO SENSU";"";"AUDITÓRIO DO DEF/UFRN";"2015";"2";"2015-07-04";"2015-07-05";"17M12345  17T123456 (04/07/2015 - 05/07/2015)";"";"80";"REGULAR";"f";"2018-07-06 09:15:44.475";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57562620";"01";"";"109292851";"";"59209";"LATO SENSU";"";"AUDITÓRIO DO DEF/UFRN";"2015";"2";"2015-07-04";"2015-07-05";"17M12345  17T123456 (04/07/2015 - 05/07/2015)";"";"80";"REGULAR";"f";"2018-07-06 09:15:44.475";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57562622";"01";"24855";"";"";"58594";"LATO SENSU";"";"Auditório - LABPSI";"2015";"2";"2015-08-14";"2015-08-16";"167M2345  67T3456";"";"50";"REGULAR";"f";"2016-06-16 17:54:48.03";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57562625";"01";"5752485";"";"";"2055024";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 1";"2015";"2";"2015-07-27";"2015-12-19";"4T3456";"6";"20";"REGULAR";"f";"2015-12-19 19:02:35.211";"f";"";"88";"CONSOLIDADA";"";"Presencial";
"57562626";"01";"5755981";"";"";"2054963";"GRADUAÇÃO";"Campus Central";"4G4";"2015";"2";"2015-07-27";"2015-12-19";"24T56";"5";"45";"REGULAR";"f";"2015-12-16 17:29:07.98";"f";"";"68";"CONSOLIDADA";"";"Presencial";
"57562627";"01";"5754639";"";"";"2054964";"GRADUAÇÃO";"Campus Central";"Setor IV";"2015";"2";"2015-07-27";"2015-12-19";"35T34";"";"45";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562627";"01";"5752709";"";"";"2054964";"GRADUAÇÃO";"Campus Central";"Setor IV";"2015";"2";"2015-07-27";"2015-12-19";"35T34";"";"45";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
