id_turma,discente,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao,semestre,turno
57576572,af8816d69255be63852233c3e1fed3fd,92127264.0,2.0,7.30000019,f,0.0,4.9,85.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,d77b331b0085b28681617e2fddb72afc,92127264.0,3.0,0.0,f,0.0,1.2,105.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,be20464b5e11a53b75442dba987f40ec,92127264.0,3.0,0.0,f,0.0,0.2,135.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,a11036a354234b060228d4bdb03febf6,92127264.0,3.0,2.5,f,0.0,2.6,27.0,REPROVADO,2016.1,Vespertino
57576572,69dec783a839edf5fb84486bb2c07ce1,92127264.0,2.0,3.70000005,t,0.0,4.7,7.0,REPROVADO,2016.1,Vespertino
57576572,46d1bcf6495c49d1fe0b469c25742c51,92127264.0,,,,,,,EXCLUIDA,2016.1,Vespertino
57576572,f6b1c7f9fba2efd70d78c1ff91a53063,92127264.0,,,,,,,EXCLUIDA,2016.1,Vespertino
57576572,925577b2cff079d05d9651797d30a68f,92127264.0,3.0,0.0,f,0.0,0.2,127.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,69cda730ad2a3dcd05bcbf735d71f170,92127264.0,3.0,3.20000005,f,0.0,3.8,16.0,REPROVADO,2016.1,Vespertino
57576572,3e216377c3b76bd6380587bd4203fbc6,92127264.0,3.0,4.5,f,0.0,6.4,14.0,APROVADO POR NOTA,2016.1,Vespertino
57576572,3b84e1e0a470e04c55a386c9610837ef,92127264.0,,,,,,,EXCLUIDA,2016.1,Vespertino
57576572,51184d64814183af6b6b964e5c5647aa,92127264.0,3.0,0.300000012,f,0.0,1.8,64.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,50676f5bca0d76c5dd30fae43b86ba37,92127264.0,1.0,4.0999998999999985,f,0.0,1.4,146.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,ca8909ce80b7ed85b87125c293a5f366,92127264.0,1.0,4.4000001,f,0.0,4.6,8.0,REPROVADO,2016.1,Vespertino
57576572,1fb124be2071b392769b08ae3a6c9140,92127264.0,3.0,2.5,f,0.0,3.2,0.0,REPROVADO,2016.1,Vespertino
57576572,27ceeeac2fddea2decf7f77f5867ed71,92127264.0,3.0,,f,0.0,,0.0,CANCELADO,2016.1,Vespertino
57576572,508e61015694c6a1e06dbc4791e5c4ec,92127264.0,3.0,,f,0.0,,0.0,CANCELADO,2016.1,Vespertino
57576572,fb8d326d11bc7c7d9b84b4ff34e93dc4,92127264.0,3.0,4.5,f,0.0,5.0,14.0,APROVADO POR NOTA,2016.1,Vespertino
57576572,dc378ad160662f2bf28a9882a4eddbc6,92127264.0,3.0,0.5,f,0.0,1.7,38.0,REPROVADO,2016.1,Vespertino
57576572,e5888e7fbf5396a9ae30e5746884a352,92127264.0,3.0,,f,0.0,,0.0,CANCELADO,2016.1,Vespertino
57576572,f09ff2a455d3f496b71ccec5c9666980,92127264.0,1.0,2.0999999,f,0.0,0.7,117.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,8c3d4e7c5313a610ca2e64cecd0c130f,92127264.0,3.0,0.0,f,0.0,1.3,91.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Vespertino
57576572,6f808545ed6b54c22ca87f61e6de6451,92127264.0,3.0,3.70000005,f,0.0,5.1,14.0,APROVADO POR NOTA,2016.1,Vespertino
57576572,c5642efe8a30966a0f82321d5e43489f,92127264.0,3.0,2.4000001,f,0.0,2.3,30.0,REPROVADO,2016.1,Vespertino
57576572,96a776d2dd8744017186f1e09c8a5a65,92127264.0,3.0,2.0999999,f,0.0,2.8,8.0,REPROVADO,2016.1,Vespertino
57576568,f20199e35adb3eb3397143f91c1f78c9,92127264.0,3.0,4.5,f,0.0,6.6,18.0,APROVADO POR NOTA,2016.1,Matutino
57576568,8115d4300b3d799016505adae5c94249,92127264.0,3.0,0.8999999759999999,f,0.0,2.1,7.0,REPROVADO,2016.1,Matutino
57576568,d6d35cd32720fb1e6acda692ba7117bc,92127264.0,,,,,,,DESISTENCIA,2016.1,Matutino
57576568,cd15db438eb6116dd81a7d5b63d2085f,92127264.0,,,,,,,EXCLUIDA,2016.1,Matutino
57576568,410ce328226d331bcc23d4fe15784c06,92127264.0,,,,,,,EXCLUIDA,2016.1,Matutino
57576568,2e5945f8cd725c17f6dabe92d7f7f03f,92127264.0,3.0,2.0,t,0.0,3.7,10.0,REPROVADO,2016.1,Matutino
57576568,7029313cb809752c9d8df989130b0284,92127264.0,,,,,,,EXCLUIDA,2016.1,Matutino
57576568,53f16a59cc553ba9e8b906a838a9c8be,92127264.0,2.0,3.79999995,f,0.0,5.0,0.0,APROVADO POR NOTA,2016.1,Matutino
57576568,dc35847ecf3995449e4f20def1b4781c,92127264.0,3.0,3.4000001,f,0.0,5.7,16.0,APROVADO POR NOTA,2016.1,Matutino
57576568,29b2a956b3bdc497a167bfe3a1047e95,92127264.0,3.0,0.300000012,f,0.0,2.5,28.0,REPROVADO,2016.1,Matutino
57576568,56585232e87415ea7395240e20b750a8,92127264.0,,,,,,,EXCLUIDA,2016.1,Matutino
57576568,b49ca96f5c6a679a922690d794c2b2d0,92127264.0,3.0,2.4000001,t,0.0,5.1,52.0,APROVADO POR NOTA,2016.1,Matutino
57576568,227dd4145147e60c4881366be6dcfecd,92127264.0,3.0,1.20000005,t,0.0,4.8,44.0,REPROVADO,2016.1,Matutino
57576568,5b0b8c744d1c86ca8d74f9fcf21721e5,92127264.0,1.0,2.70000005,f,0.0,2.8,6.0,REPROVADO,2016.1,Matutino
57576568,d9767f5a6e88adb4e6b065ca12a93c62,92127264.0,1.0,5.19999981,f,0.0,2.3,24.0,REPROVADO,2016.1,Matutino
57576568,cee3a20c946596d03e871ff34ed174b9,92127264.0,2.0,3.9000001,f,0.0,4.4,4.0,REPROVADO,2016.1,Matutino
57576568,59fdeccdaf60bbcaee842c77df95628e,92127264.0,3.0,2.5,t,0.0,5.5,0.0,APROVADO POR NOTA,2016.1,Matutino
57576568,18b9837532a4f1b97daf857e6de48fc8,92127264.0,3.0,0.0,f,0.0,0.5,58.0,REPROVADO,2016.1,Matutino
57576568,749d6bd07c00d050d8dcae6a07244938,92127264.0,3.0,2.70000005,f,0.0,2.6,14.0,REPROVADO,2016.1,Matutino
57576568,151066e04f1fe51dde35ea424cfab638,92127264.0,3.0,4.19999981,f,0.0,6.6,32.0,APROVADO POR NOTA,2016.1,Matutino
57576568,1acd98d4de86558956754f6e6e01bf2b,92127264.0,1.0,0.0,f,0.0,0.1,164.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Matutino
57576568,b79c01c95fec207fe61e036ad42e8d3a,92127264.0,,,,,,,EXCLUIDA,2016.1,Matutino
57576568,5b42964504a3ae73a2cd2cca7b8b56a5,92127264.0,,,,,,,EXCLUIDA,2016.1,Matutino
57576568,e76ecbc27b4c380c8dfd85f4c5ef9f8c,92127264.0,2.0,1.20000005,f,0.0,1.0,52.0,REPROVADO,2016.1,Matutino
57576568,b9676be82ac7156ec9881ef05a39b3da,92127264.0,3.0,0.0,f,0.0,0.8,34.0,REPROVADO,2016.1,Matutino
57576568,0f72067ed35dd81348240f339ef75fa3,92127264.0,3.0,4.19999981,f,0.0,5.2,8.0,APROVADO POR NOTA,2016.1,Matutino
57576568,5b2d3c42eb646fcfc70f291887ec5a05,92127264.0,3.0,9.39999962,f,0.0,9.1,8.0,APROVADO,2016.1,Matutino
57576568,8d3520af0fa1e688125975d3301ecb17,92127264.0,3.0,6.5,f,0.0,6.7,4.0,APROVADO POR NOTA,2016.1,Matutino
57576568,9aa51c3d254f37645b7a0f195ee4207e,92127264.0,2.0,2.0,f,0.0,1.8,87.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Matutino
57576568,6064ff9e246daccad635ae5dbb29be7a,92127264.0,2.0,0.0,f,0.0,0.1,160.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Matutino
57576568,8279680fc9b8c2fff3ed4b8826ed9be3,92127264.0,3.0,0.0,f,0.0,0.0,184.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Matutino
57576568,c8e1d00f9278ca47adf3ce503b97d56b,92127264.0,2.0,0.0,f,0.0,0.5,98.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Matutino
57576568,01be773c61e1d5a4cf210dc40f029ade,92127264.0,1.0,0.0,f,0.0,0.0,164.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Matutino
57576568,1e76ee1b123f92395aaae4e1545fefc0,92127264.0,3.0,0.0,f,0.0,1.2,0.0,CANCELADO,2016.1,Matutino
57576568,4c95cd77f07faf443107462d6b6540d3,92127264.0,3.0,2.4000001,t,0.0,5.4,8.0,APROVADO POR NOTA,2016.1,Matutino
57576568,0141003cdfa1dcfe4dc175a6f391df73,92127264.0,2.0,1.89999998,f,0.0,3.1,2.0,REPROVADO,2016.1,Matutino
57576568,7ce3412f1ad2c6d2aa4e18c41b765835,92127264.0,3.0,0.0,f,0.0,0.9,84.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Matutino
57576568,1f2f4c26870d34da324978d4cf382d7b,92127264.0,3.0,1.70000005,f,0.0,3.1,18.0,REPROVADO,2016.1,Matutino
57576568,855a39d5be93dcc1d8dcfdc164b92543,92127264.0,3.0,7.599999900000001,f,0.0,7.7,0.0,APROVADO,2016.1,Matutino
57576569,72b86f1194a0e5abd4a6f80246ae6ff6,92127264.0,3.0,4.4000001,t,0.0,5.1,40.0,APROVADO POR NOTA,2016.1,Noturno
57576569,b0367cc573977057e54a192c19db9e01,92127264.0,2.0,7.0,f,0.0,6.1,46.0,APROVADO POR NOTA,2016.1,Noturno
57576569,55d8b55d87534d233485da991b27969f,92127264.0,3.0,6.69999981,f,0.0,5.2,28.0,APROVADO POR NOTA,2016.1,Noturno
57576569,68153b54886006e4fa113d2eabc13310,92127264.0,3.0,8.19999981,f,0.0,7.3,8.0,APROVADO,2016.1,Noturno
57576569,1dcbdb0c208ebd8716b04755fc8fd70e,92127264.0,3.0,0.0,f,0.0,0.6,114.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Noturno
57576569,dcf3cc139f6688da2382a79c4b743eda,92127264.0,3.0,5.30000019,f,0.0,6.7,42.0,APROVADO POR NOTA,2016.1,Noturno
57576569,62e5b2506a3950e0cf91b98d0b23b570,92127264.0,2.0,0.0,t,0.0,6.7,58.0,APROVADO POR NOTA,2016.1,Noturno
57576569,a80ef3d24cc1f6d4affc491f3c309522,92127264.0,2.0,2.0999999,f,0.0,3.5,58.0,REPROVADO,2016.1,Noturno
57576569,785436fd9e399e6bc12cc2f76a581fab,92127264.0,,,,,,,EXCLUIDA,2016.1,Noturno
57576569,5d7afae7318e519207eed8cd8dc3b82f,92127264.0,3.0,3.0,f,0.0,6.6,40.0,APROVADO POR NOTA,2016.1,Noturno
57576569,cd231a8d27b39232bf3d3c9d6e1a890b,92127264.0,,,,,,,EXCLUIDA,2016.1,Noturno
57576569,2b677c448d7aef1d98c5c91cf5b82282,92127264.0,3.0,6.69999981,f,0.0,6.6,2.0,APROVADO POR NOTA,2016.1,Noturno
57576569,3a6fc50a7cec88f170ff8352f2ffe679,92127264.0,3.0,,f,0.0,,,EXCLUIDA,2016.1,Noturno
57576569,3f02c2e8d36ccf2001f9798df13ca34f,92127264.0,3.0,0.0,f,0.0,1.0,148.0,REPROVADO POR MÉDIA E POR FALTAS,2016.1,Noturno
57576569,6cc6a40c9f3aa897b8f73d3b95031fab,92127264.0,,,,,,,EXCLUIDA,2016.1,Noturno
57576569,b54278396ceb0d549f9e656f46b2c4e7,92127264.0,3.0,5.30000019,f,0.0,5.9,22.0,APROVADO POR NOTA,2016.1,Noturno
57576569,769063ca68367d375987843d4a849261,92127264.0,,,,,,,DESISTENCIA,2016.1,Noturno
57576569,fada7be4b45d0f1e4f96b5f9c3c5c630,92127264.0,3.0,,f,0.0,,,EXCLUIDA,2016.1,Noturno
57576569,50e1d5c8f1fc5ada20d37616c21f8274,92127264.0,1.0,6.4000001,f,0.0,6.0,38.0,APROVADO POR NOTA,2016.1,Noturno
57576569,f911936596f99ff498fff8a61d3d1929,92127264.0,3.0,3.20000005,f,0.0,5.4,10.0,APROVADO POR NOTA,2016.1,Noturno
57576569,58f58fb476050434ac1635134ed460f8,92127264.0,3.0,4.69999981,f,0.0,5.0,34.0,APROVADO POR NOTA,2016.1,Noturno
